antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Google Phone'}),frozenset({'USB-C Charging Cable'}),0.0309464965225822,0.12248020309689134,0.005587406199386898,0.1805505251720391,1.4741200668095695,1.0,0.0017970730201637888,1.0708650427622024,0.33190035943646223,0.03779378316906747,0.06617551225634581,0.11308468834671503
frozenset({'iPhone'}),frozenset({'Lightning Charging Cable'}),0.03833285697473058,0.1210735441640467,0.005665865263370265,0.14780701754385964,1.2208035914401816,1.0,0.0010247704115061368,1.0313702106567026,0.18807694289025711,0.03685342470746911,0.030416052676883572,0.09730195350438677
frozenset({'Lightning Charging Cable'}),frozenset({'iPhone'}),0.1210735441640467,0.03833285697473058,0.005665865263370265,0.0467968894649139,1.2208035914401814,1.0,0.0010247704115061368,1.0088795686844034,0.20578219615220938,0.03685342470746911,0.008801415907334284,0.09730195350438677
frozenset({'USB-C Charging Cable'}),frozenset({'Google Phone'}),0.12248020309689134,0.0309464965225822,0.005587406199386898,0.04561885152139098,1.4741200668095695,1.0,0.0017970730201637888,1.0153736848450938,0.3665207409022484,0.03779378316906747,0.015140913217028264,0.11308468834671503
